Station Address,City,State/Province,Transaction Date,Transaction Start Time,   Charging Time (minutes)   , Energy (kWh) , GHG Savings (kg) , Gasoline Savings (gallons) ,Port Type
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/1/2018,5:49 PM,123,6.5,2.73,0.82,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/2/2018,9:11 PM,221,15.05,6.32,1.89,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/2/2018,8:52 AM,24,2.48,1.04,0.31,Level 2
"Rijnkade 3, 3511 LC",Utrecht,Utrecht,1/3/2018,2:37 PM,24,2.48,1.04,0.31,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/3/2018,2:13 PM,17,1.8,0.76,0.23,Level 2
"Rijnkade 3, 3511 LC",Utrecht,Utrecht,1/3/2018,9:19 AM,114,6.95,2.92,0.87,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/4/2018,9:29 AM,134,4.44,1.87,0.56,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/4/2018,9:11 PM,41,3.48,1.46,0.44,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/4/2018,1:36 PM,234,14.11,5.93,1.77,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/4/2018,4:01 PM,47,2.81,1.18,0.35,Level 2
"Rijnkade 13, 3511 LC",Utrecht,Utrecht,1/4/2018,12:21 PM,84,8.17,3.43,1.03,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/4/2018,8:16 PM,244,16.74,7.03,2.1,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/5/2018,4:24 PM,38,2.3,0.97,0.29,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/5/2018,2:00 PM,25,0.65,0.27,0.08,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/6/2018,2:55 PM,134,11.13,4.68,1.4,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/6/2018,4:23 PM,31,1.86,0.78,0.23,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/6/2018,9:52 AM,201,10.22,4.29,1.28,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/6/2018,9:45 AM,14,0.7,0.29,0.09,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/6/2018,8:21 AM,67,4.17,1.75,0.52,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/6/2018,7:49 AM,82,4.64,1.95,0.58,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/7/2018,4:02 PM,72,5.24,2.2,0.66,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/7/2018,2:23 PM,153,13.94,5.85,1.75,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/7/2018,11:51 AM,138,8.5,3.57,1.07,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/7/2018,9:46 AM,72,2.93,1.23,0.37,Level 2
